name,email,address,phone_number,birthdate
добродій Симон Ємець,artiukhvalentyna@nav4it.org,"вулиця Велика Садова, буд. 6, Дубровиця, 53000",+380 (15) 424-11-81,1960-08-09
Ярослава Скиба,ichumak@ukr.net,"провулок Виноградна 1-ша, буд. 547, Хотин, 12208",544-43-91,1991-06-15
Степан Колісниченко,leonid29@nav4it.org,"шосе Академіка Векслера, буд. 60, Вільногірськ, 80690",042-23-37,1982-05-12
Шаповал Дан Яремович,tnesterenko@ukr.net,"шосе Болградська, буд. 695, Рудки, 48373",+380 (62) 314-04-87,1966-03-16
Анжела Андрійчук,taras09@nav4it.org,"провулок Кустанайська, буд. 60, Рогатин, 27180",+380 (35) 177-94-17,2007-04-23
Алла Бабій,liubov40@ukr.net,"площа Політкаторжан, буд. 3, Ізмаїл, 98974",+380 (36) 109-25-82,1995-03-24
Аніта Власюк,omelianhavrysh@gmail.com,"сквер Бориса Кифоренка, буд. 167 кв. 17, Вараш, 97982",053 926 40 16,1999-01-27
Єва Яценко,tiahnybokievhen@nav4it.org,"площа Новощіпний ряд, буд. 5 кв. 18, Хмільник, 60045",079-09-58,1981-05-25
Єлисей Тимчук,jsymonenko@ukr.net,"набережна Бориса Дерев'янка, буд. 892, Обухів, 53807",+380 77 288-16-90,2004-05-10
Марʼяна Шведченко,bohdanhuzenko@ukr.net,"шосе Десята, буд. 5 кв. 3, Хоростків, 66587",+380 30 004-09-81,1979-05-02
Лукʼян Запорожець,uzabarnyi@nav4it.org,"шосе Вершинна, буд. 244, Покров, 98155",+380 97 610-74-53,1967-07-05
Кирило Іващенко,zavramchuk@nav4it.org,"набережна Географічний, буд. 3, Ямпіль, 41070",166-22-77,1979-08-17
Михайло Швачка,oksanafastenko@ukr.net,"проспект Пісочний, буд. 275 кв. 26, Бахмут, 71511",+380 (60) 322-22-07,1961-08-22
Розалія Гавриленко,tkachievhen@ukr.net,"провулок Рівності 2-й, буд. 7 кв. 04, Городня, 51295",+380 09 069 31 43,1972-07-17
пані Алла Свириденко,shevchenkorozaliia@ukr.net,"провулок Незалежності, буд. 3 кв. 0, Зміїв, 10795",339-75-94,1993-08-12
пан Варфоломій Лавренко,nehodahavrylo@nav4it.org,"сквер Кавказький, буд. 545 кв. 266, Славутич, 96068",+380 08 902-02-27,1989-11-26
пані Емілія Затула,petro03@nav4it.org,"узвіз Різдвяна, буд. 8, Олександрівськ, 03851",037-23-29,1962-05-01
Червоненко Любов Семенівна,stanislaviurchuk@ukr.net,"проспект Вчительської, 2-й, буд. 27 кв. 615, Тернопіль, 86734",975 74 61,1961-07-18
Варвара Рева,bbevz@nav4it.org,"проспект Миколи Савича, буд. 24, Гуляйполе, 25846",+380 27 795-09-92,1987-05-31
Франц Токар,asvyrydenko@gmail.com,"площа Чорничний, буд. 6, Яремче, 15888",829 25 82,1961-01-23
Богданна Вакарчук,ievhen96@ukr.net,"сквер Каштанова, буд. 874 кв. 385, Ялта, 56394",+380 72 430-96-84,2004-03-27
Емілія Чміль,hvivcharenko@ukr.net,"набережна В’ячеслава Чорновола, буд. 57 кв. 00, Тараща, 49366",077 953-17-99,1973-12-26
Емілія Гоголь,semenavdieienko@nav4it.org,"вулиця Камишова, буд. 688 кв. 160, Вишневе, 57082",041 566 27 44,1992-09-11
Пріска Сімашкевич,korbutomelian@nav4it.org,"набережна Десята, буд. 3, Алчевськ, 26831",+380 84 797-90-34,1972-10-12
Феофан Жук,myroslav77@nav4it.org,"парк Коцюбинського, буд. 622, Олешки, 15436",059 769-61-41,1980-01-13
Ярослава Іщак,okhrim71@gmail.com,"площа Наявний 6-й, буд. 046 кв. 0, Шепетівка, 24466",296-19-59,2004-06-11
Юстим Юрчук,schmil@ukr.net,"провулок Кришталева, буд. 66, Белз, 55280",675 38 38,1974-07-31
Симон Ляшко,larysa74@nav4it.org,"сквер Регенсбург, буд. 6 кв. 04, Бахчисарай, 79242",+380 91 985 06 75,1970-01-27
Гліб Бабич,nikoliukvadym@ukr.net,"провулок Пастера, буд. 8, Новоукраїнка, 88006",677-11-94,2006-10-07
Пармен Фаренюк,akonoplenko@nav4it.org,"парк Жаботинського, буд. 5 кв. 5, Снятин, 93269",516-84-73,1991-03-02
Олександр Абрамчук,havrylo90@ukr.net,"площа Херсонський сквер, буд. 4, Болград, 32936",777-76-73,1971-07-21
Єлисавета Андрощук,pylyp52@nav4it.org,"вулиця 9-та Лінія Дачі Ковалевського, буд. 57 кв. 240, Снігурівка, 21894",+380 (66) 507-25-21,1962-09-22
пан Климент Лазаренко,vyshniakihor@ukr.net,"сквер Дубова, буд. 30 кв. 4, Попасна, 79912",012 707 62 71,1984-11-09
Тетяна Луценко,chekaliukvioletta@nav4it.org,"проспект Варненська, буд. 824, Феодосія, 11757",050 35 87,1973-06-27
Станіслав Непорожній,iaremenkoaaron@nav4it.org,"провулок Польська, буд. 318 кв. 755, Хрустальний, 71401",093 629 82 53,1967-01-09
Оксана Лагода,milenapryimak@ukr.net,"площа 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 636, Вишневе, 07730",+380 (68) 505-62-46,1966-06-21
Святослав Засуха,spassomko@nav4it.org,"парк Олександра Болдирєва, буд. 3 кв. 2, Умань, 66102",+380 (17) 130-79-46,1991-01-09
Ярослав Шевченко,stetsanastasiia@gmail.com,"вулиця Машинобудівний, буд. 646, Дубляни, 02752",+380 (40) 556-52-55,1981-09-13
Пантелеймон Євтушок,amaliia48@ukr.net,"парк Платанова, буд. 454, Путивль, 78812",027 166-95-57,1983-08-18
Демʼян Перебийніс,skorykspas@ukr.net,"площа Чорноморський 5-й, буд. 6 кв. 141, Монастирище, 30249",015 944 73 52,2000-04-03
Тереза Засенко,makarprotsenko@gmail.com,"провулок Адміральський, буд. 2, Скадовськ, 03596",+380 (02) 740-62-46,2006-05-22
Галина Дрозденко,tdanyliuk@gmail.com,"набережна Саймона Літмана, буд. 723 кв. 4, Білогірськ, 19165",+380 (67) 674-06-91,2007-04-13
пані Лариса Фартушняк,galaganpetro@gmail.com,"парк Маланова, буд. 716, Іловайськ, 03025",+380 34 441 79 03,1961-04-28
Амалія Лупій,cherinkozorian@nav4it.org,"набережна Максима Чайки, буд. 757 кв. 10, Гадяч, 35446",+380 54 835 16 81,1973-08-22
Софія Фурс,valerii76@nav4it.org,"проспект Мазепи Івана, буд. 06, Приморськ, 95625",128-99-66,1996-12-22
Гавриш Камілла Макарівна,kolesnychenkohlib@gmail.com,"сквер Ф. Пішеніна, буд. 811 кв. 07, Знам'янка, 16478",005 915 90 56,1970-06-03
Тетяна Вакарчук,abramenkoprokhir@gmail.com,"провулок Леся Курбаса, буд. 4, Феодосія, 01468",+380 35 724 13 54,1980-05-21
Ілля Арсенич,stefantytarenko@ukr.net,"провулок Колективний, буд. 9 кв. 643, Щастя, 26640",020 831-02-01,1998-06-21
Стефан Удовиченко,oleksavlasenko@gmail.com,"набережна Гайова, буд. 87, Чуднів, 17772",083 434-30-69,1990-09-02
Петлюра Семен Єфремович,leontii37@ukr.net,"сквер 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 2, Чистякове, 77688",122-41-71,2004-02-26
Леопольд Дубина,pylyp77@nav4it.org,"проспект Санаторний, буд. 9 кв. 7, Гнівань, 27177",+380 59 047-56-82,1976-07-27
пані Аліна Бабариченко,orysia47@ukr.net,"проспект Карантинна, буд. 419, Яворів, 60079",+380 35 531-44-55,1970-03-16
Святослава Алексеєнко,les87@ukr.net,"проспект Гілельса, буд. 010 кв. 0, Костопіль, 17410",317-78-98,1971-10-23
Світлана Шовкопляс,dakhnostepan@gmail.com,"площа Ватманський, буд. 7, Лисичанськ, 98881",007 129-68-77,2002-04-07
Емілія Хорішко,veniiamynzaika@gmail.com,"набережна Перша, буд. 534, Берегове, 38589",482-50-69,1968-12-02
Анжела Худобʼяк,iarynakhrystenko@ukr.net,"набережна Басейний 1-й, буд. 470 кв. 912, Кропивницький, 59138",611-45-60,2000-03-16
Владислав Алексюк,vskyba@ukr.net,"проспект Листяна, буд. 40 кв. 50, Рогатин, 41188",000 589-73-76,1992-11-20
Геннадій Заїка,nruban@nav4it.org,"шосе Училищна, буд. 8, Золотоноша, 90145",094 909-23-47,1964-10-29
пані Галина Чарниш,danyloieromenko@gmail.com,"площа Монгольська, буд. 746, Винники, 96513",704 32 05,1975-04-06
Людмила Лисенко,roksolana03@gmail.com,"провулок Західний 3-й, буд. 7 кв. 782, Прип'ять, 03569",+380 (45) 006-01-57,1998-12-11
Вітер Едита Русланівна,veresmarusia@nav4it.org,"шосе Нафтовиків, буд. 262, Сміла, 28510",021 563 73 02,1960-02-20
Чуприна Аарон Гордійович,stepanbandura@gmail.com,"площа Мукачівський, буд. 998, Черкаси, 54142",224 96 92,1967-06-14
Гузенко Анастасія Данівна,havryletskhoma@ukr.net,"провулок Братів Малакових, буд. 54 кв. 01, Феодосія, 58806",+380 13 093-98-92,1993-02-25
Марʼяна Уманець,ada14@gmail.com,"вулиця Шостої 1-й, буд. 48 кв. 474, Очаків, 23535",015 953-30-65,1972-11-16
Ігнат Ковалюк,hlibturkalo@ukr.net,"сквер Середня, буд. 6, Заставна, 62820",958 46 92,1975-12-01
пані Ірина Штокало,rbalaban@gmail.com,"сквер Матроський, буд. 704 кв. 80, Ананьїв, 65662",+380 71 068-78-83,1990-02-12
Лукʼян Черінько,spaspryimak@nav4it.org,"провулок Молоді, буд. 95 кв. 8, Волочиськ, 21560",+380 99 886 59 13,1992-02-08
