name,email,address,phone_number,birthdate
Любов Захаренко,darahanliliia@gmail.com,"узвіз 12-та ст. Великого Фонтану пляж, буд. 9 кв. 276, Роздільна, 05587",+380 (41) 684-19-93,1985-03-24
Аркадій Чайка,mhaidabura@nav4it.org,"площа Лиманчик 2-й Лінія 2-га, буд. 1, Ірміно, 65128",684 02 30,1970-02-23
Святослава Фаренюк,petrykvadym@nav4it.org,"площа Дур'янівський, буд. 553 кв. 02, Монастирище, 63448",059 451-12-01,1989-07-08
Камілла Базилевська,davymukaliliia@gmail.com,"проспект Канатний, буд. 968, Прилуки, 40035",099 998-59-07,2006-11-17
Варвара Смик,pavlenkoalla@gmail.com,"узвіз Агрономічна, буд. 846 кв. 6, Миколаїв, 15863",063 615-61-60,1999-05-19
пан Олекса Литвиненко,odarkatarasenko@nav4it.org,"шосе Стеценко, буд. 507 кв. 9, Покров, 46637",+380 18 386-36-80,1967-10-15
Ярема Дзиндра,ieromenkoavhustyn@ukr.net,"площа Поштова, буд. 4, Олександрія, 36411",029 829 50 31,2003-09-28
Марта Кальченко,bohdanna58@ukr.net,"сквер Новоберегова, буд. 0, Винники, 46636",876 42 70,1996-08-10
Демид Шамрай,dkybkalo@ukr.net,"набережна Вапняний 3-й, буд. 04, Новий Розділ, 55098",+380 30 694-39-51,1965-08-28
Вікторія Яременко,stanislav40@nav4it.org,"вулиця Олександра Тимошенка, буд. 25, Звенигородка, 30981",+380 65 012-53-01,1986-12-27
Давид Шило,movsiienko@nav4it.org,"провулок Керченська, буд. 865 кв. 349, Корюківка, 61048",+380 34 497-31-32,1973-01-01
Теодор Конопленко,uriabchenko@gmail.com,"шосе Василя Кандинського, буд. 8 кв. 725, Курахове, 73747",060 854-63-47,1988-05-05
Ігнат Дробаха,bebeshkoliliia@gmail.com,"проспект Крижанівський, буд. 7 кв. 263, Охтирка, 17330",057 447 89 18,1984-11-23
пані Ганна Пилипенко,demyd39@gmail.com,"шосе Польовий 1-й, буд. 15, Городня, 83106",+380 77 673-09-07,2001-09-01
Данило Артюшенко,zkorbut@nav4it.org,"узвіз Стражеска Миколи, буд. 222, Зимогір'я, 55091",066 142 98 13,2003-12-25
Вікторія Безбородько,heorhii79@gmail.com,"проспект Миколи Костомарова, буд. 8 кв. 03, Балта, 13535",+380 55 370 91 23,1986-03-31
Вікторія Комар,arkadiiandriishyn@ukr.net,"вулиця Пiвденний, буд. 58 кв. 77, Горішні Плавні, 76987",075 108-74-77,2005-12-31
Юстим Сацюк,volodymyravashchuk@gmail.com,"сквер Сливова, буд. 875 кв. 722, Бобринець, 80083",024 107 36 30,1971-02-01
пані Дарина Бабʼюк,panas08@nav4it.org,"шосе Дідріхсона, буд. 13, Заліщики, 15645",763 56 07,1990-04-04
Галина Бакуменко,iustym02@nav4it.org,"сквер Листяна, буд. 253, Новоукраїнка, 84576",006 338 45 16,1974-01-29
Богуслава Онищенко,antonsavenko@nav4it.org,"шосе Мерло, буд. 516, Світловодськ, 29145",+380 (45) 821-57-43,1995-10-28
Юстина Малик,fbairak@ukr.net,"проспект Садова 4-та, буд. 0, Харцизьк, 82260",330-62-67,1995-09-25
Василина Бабариченко,viacheslavlavrenko@ukr.net,"парк Осипова, буд. 159, Кіцмань, 47737",+380 (80) 912-93-29,2005-04-16
Орина Валенко,pavloandreiko@nav4it.org,"вулиця Мала Арнаутська, буд. 45, Гнівань, 72175",+380 17 979-36-05,1960-11-13
Соломон Гузь,bkhorishko@ukr.net,"площа Остапа Вишні, буд. 33, Сімферополь, 75143",058 121 50 92,1977-03-27
Ярослава Авраменко,khoma51@ukr.net,"парк Вертелецького, буд. 9 кв. 76, Бережани, 08939",712 85 74,1975-05-20
Перепелиця Нестор Кирилович,solomiia65@gmail.com,"узвіз Йосипа Фішера, буд. 1 кв. 63, Перевальськ, 24595",+380 (52) 905-74-62,2002-04-21
Теодор Іванченко,chumakdemyd@gmail.com,"площа Соляний 6-й, буд. 7 кв. 3, Добропілля, 62966",+380 86 154-74-08,1990-10-23
Голик Ганна Веніяминівна,huziivolodymyr@nav4it.org,"площа Троїцька, буд. 627, Святогірськ, 47807",240-93-61,1991-01-31
Клавдія Данько,markovasylashko@nav4it.org,"набережна Щоглова, буд. 859 кв. 50, Бобровиця, 72751",+380 29 310 69 57,1994-10-29
Богуслава Черненко,ariabets@nav4it.org,"парк Семафорний, буд. 16, Роздільна, 28469",705-77-23,1976-09-01
Теодор Парасюк,lshukhevych@ukr.net,"набережна Заможна, буд. 468, Горлівка, 12912",434 66 33,1978-09-13
пані Клавдія Чарниш,vieresko@nav4it.org,"набережна Лінія 52-га, буд. 383, Южне, 85740",+380 (32) 797-69-32,1975-08-09
Макар Петренко,erikasavenko@nav4it.org,"набережна Балтська дорога, буд. 27 кв. 68, Дрогобич, 25123",+380 86 895-68-97,1992-11-30
Герман Дрозденко,viktor31@gmail.com,"провулок Івана Франка, буд. 6 кв. 468, Авдіївка, 05626",606-64-34,1991-01-24
Ігор Чередник,zakusylozlatoslava@gmail.com,"парк Володі Дубініна, буд. 0, Чуднів, 88754",+380 25 644-57-26,1970-09-13
Роман Хмара,ohaidenko@gmail.com,"сквер Галини Могильницької, буд. 8 кв. 0, Бахмач, 29092",068 460-04-02,2003-03-13
Єва Литвиненко,davyd91@gmail.com,"шосе Восьмого березня 6-й, буд. 104 кв. 2, Гуляйполе, 10758",+380 88 387-40-83,1974-01-06
Юстим Безбородько,tsymbaliukrostyslav@gmail.com,"сквер Водний, буд. 6 кв. 534, Хирів, 51815",077 703-25-85,1994-05-13
Георгій Скирда,marko26@nav4it.org,"шосе Мечникова, буд. 58, Почаїв, 37488",+380 21 067-41-18,1968-08-20
Мирослав Стельмах,veniiamynlemeshko@nav4it.org,"набережна Кладовищенська, буд. 58, Ужгород, 02497",817-60-17,1978-03-31
Тереза Гуцуляк,ekovaliuk@gmail.com,"проспект Авіаторів, буд. 994 кв. 438, Синельникове, 23762",561 16 20,1987-03-29
Лілія Чуйко,emiliia05@nav4it.org,"провулок Кортацці, буд. 2 кв. 1, Устилуг, 55825",015 669 73 64,1990-04-02
Борислав Юрченко,ukovalenko@ukr.net,"шосе Польська, буд. 369 кв. 278, Радомишль, 77135",+380 79 025-05-10,1993-03-14
Болеслав Гайдамака,demyd15@nav4it.org,"проспект Лиманна, буд. 7 кв. 17, Залізне, 75586",+380 21 122-11-39,1962-10-12
пані Віра Ковпак,myroslavokhrimenko@nav4it.org,"парк Радіо, буд. 68 кв. 764, Дубно, 80366",+380 33 295-28-18,1996-05-02
Шинкаренко Нестор Сергійович,zabashtadmytro@ukr.net,"парк Гімназична, буд. 21 кв. 1, Івано-Франківськ, 76187",+380 (19) 464-56-93,2002-11-18
Ярина Фастенко,illia99@ukr.net,"проспект Садова 5-та, буд. 587 кв. 2, Заліщики, 44358",+380 (06) 379-12-19,1963-05-24
Світлана Бандурка,shaivoronskyi@nav4it.org,"парк Ізмаїльська, буд. 831 кв. 51, Попасна, 73533",+380 (52) 545-61-93,1979-08-23
Володимира Жадан,andriishyndemyd@ukr.net,"парк Четверта, буд. 6 кв. 4, Львів, 73867",595 67 24,1972-11-01
Ганна Саєнко,orobetsruslan@gmail.com,"проспект Вокзальний, буд. 6, Олевськ, 53779",503-68-96,1980-03-07
Пилип Чаленко,spasdemianiuk@gmail.com,"проспект Каретний, буд. 34, Белз, 04177",091 210-22-88,2002-01-25
Нестор Черінько,atamanchukviktor@gmail.com,"шосе Польська, буд. 704, Березань, 23770",+380 79 445-99-88,1985-08-21
Амалія Засуха,ydurdynets@nav4it.org,"парк Лігінська, буд. 05, Івано-Франківськ, 41507",083 092 01 73,1997-05-05
Оксенія Демʼяненко,vitalii30@gmail.com,"площа Санаторний, буд. 6 кв. 494, Батурин, 06162",+380 68 310-66-60,1966-08-01
Захар Скопенко,mazepaanton@gmail.com,"набережна Савицький, буд. 552 кв. 36, Докучаєвськ, 19270",386 97 95,1959-08-29
Галина Притула,korolenkoivan@gmail.com,"набережна Полуничний, буд. 36 кв. 60, Ірміно, 63174",+380 (31) 178-85-71,1972-10-04
пані Олена Сиротенко,roksolana39@ukr.net,"парк Докова, буд. 6 кв. 94, Зугрес, 58040",044 46 51,1984-12-02
Адам Демʼянюк,myroslav84@ukr.net,"шосе Морехідний, буд. 0 кв. 446, Бердичів, 43230",057 913-49-77,1966-02-26
Златослава Швайка,tychynahordii@gmail.com,"вулиця Біляївська, буд. 6, Сіверськодонецьк, 83558",042 651 16 23,1982-01-18
Охрім Дахно,lgzhytskyi@ukr.net,"провулок 7-ма Лінія Дачі Ковалевського, буд. 689 кв. 10, Довжанськ, 96496",+380 (52) 908-87-83,1977-01-12
Варвара Чорновіл,zaikasnizhana@nav4it.org,"вулиця Усатівська, буд. 310 кв. 558, Мирноград, 34953",010 512 71 33,1961-04-07
Софія Гайворонська,edyta07@gmail.com,"площа Друга, буд. 43 кв. 41, Тячів, 90777",+380 40 903-34-22,1980-04-25
Емілія Хорішко,veniiamynzaika@gmail.com,"набережна Перша, буд. 534, Берегове, 38589",482-50-69,1968-12-02
Анжела Худобʼяк,iarynakhrystenko@ukr.net,"набережна Басейний 1-й, буд. 470 кв. 912, Кропивницький, 59138",611-45-60,2000-03-16
Владислав Алексюк,vskyba@ukr.net,"проспект Листяна, буд. 40 кв. 50, Рогатин, 41188",000 589-73-76,1992-11-20
Геннадій Заїка,nruban@nav4it.org,"шосе Училищна, буд. 8, Золотоноша, 90145",094 909-23-47,1964-10-29
пані Галина Чарниш,danyloieromenko@gmail.com,"площа Монгольська, буд. 746, Винники, 96513",704 32 05,1975-04-06
